,City,Country Code,Longitude,Latitude,Temperature,Wind Speed,Cloudiness
0,Hobart,AU,147.33,-42.88,55.4,5.82,75
1,Tiksi,RU,128.87,71.64,-17.6,6.87,0
2,Lyuban,BY,28.0,52.8,25.33,9.78,8
3,Tuktoyaktuk,CA,-133.03,69.44,-4.01,2.24,75
4,Butaritari,KI,172.79,3.07,81.76,12.35,76
5,Bluff,NZ,168.33,-46.6,58.54,26.11,48
6,Port Alfred,ZA,26.89,-33.59,75.15,15.03,0
7,Rikitea,PF,-134.97,-23.12,79.51,14.7,80
8,Ushuaia,AR,-68.31,-54.81,51.8,13.87,75
9,Dourbali,TD,15.86,11.81,84.87,9.55,0
10,Pevek,RU,170.27,69.7,-9.41,4.85,0
11,Constitucion,CL,-72.42,-35.33,62.82,12.91,0
12,Rodrigues Alves,BR,-72.65,-7.74,77.0,4.7,75
13,Bredasdorp,ZA,20.04,-34.53,64.4,11.41,56
14,Sitka,US,-99.65,37.17,50.49,13.13,76
15,Madimba,TZ,40.33,-10.4,80.82,4.52,76
16,Qaanaaq,GL,-69.36,77.48,-8.06,8.77,0
17,Kaitangata,NZ,169.85,-46.28,59.53,16.71,8
18,Dikson,RU,80.55,73.51,-12.47,18.05,8
19,Chokurdakh,RU,147.9,70.62,-6.62,6.53,64
20,Punta Arenas,CL,-70.91,-53.16,55.4,13.87,20
21,Tasiilaq,GL,-37.64,65.61,30.2,32.21,76
22,Saint-Francois,GP,-61.27,16.25,75.2,3.36,75
23,Bambous Virieux,MU,57.76,-20.34,75.2,5.82,20
24,Narsaq,GL,-46.05,60.91,24.8,2.24,40
25,Saint Marys,US,-78.56,41.43,34.39,6.93,90
26,Kapaa,US,-159.32,22.08,73.2,4.7,1
27,Pisco,PE,-76.2,-13.71,80.6,11.41,0
28,Meulaboh,ID,96.13,4.14,76.54,5.41,88
29,Vaini,TO,-175.2,-21.2,80.6,3.36,20
30,Fukue,JP,136.69,35.03,50.0,2.24,0
31,Xuddur,SO,43.89,4.12,77.85,11.9,0
32,Inta,RU,60.13,66.04,4.27,8.66,48
33,Khatanga,RU,102.47,71.98,-33.94,5.64,8
34,Itaituba,BR,-55.99,-4.26,91.4,5.82,20
35,Busselton,AU,115.35,-33.64,65.02,11.45,88
36,Barrow,US,-90.4,39.51,44.78,9.17,90
37,Petropavlovsk-Kamchatskiy,RU,158.65,53.05,15.8,6.71,68
38,Georgetown,SH,-14.42,-7.93,80.37,9.78,92
39,Port-Cartier,CA,-66.88,50.03,35.6,9.17,75
40,Albany,AU,117.88,-35.02,56.2,10.0,64
41,Cherskiy,RU,161.3,68.75,-5.36,2.73,48
42,Ahipara,NZ,173.16,-35.17,67.36,4.63,32
43,Yichang,CN,111.32,30.77,57.69,1.16,0
44,Rio Gallegos,AR,-69.22,-51.62,55.4,31.09,0
45,Port Elizabeth,ZA,25.57,-33.92,66.2,2.24,0
46,Bethel,US,-161.76,60.79,33.8,11.41,90
47,New Norfolk,AU,147.06,-42.78,55.4,5.82,75
48,Arraial do Cabo,BR,-42.02,-22.97,81.72,16.11,20
49,Aklavik,CA,-135.01,68.22,2.86,2.24,5
50,Avarua,CK,-159.78,-21.21,78.8,11.41,90
51,Nuuk,GL,-51.74,64.17,17.6,6.93,75
52,Atuona,PF,-139.03,-9.8,81.99,13.69,64
53,Longyearbyen,SJ,15.64,78.22,12.2,10.29,75
54,Upernavik,GL,-56.15,72.79,-4.73,6.42,20
55,Bambanglipuro,ID,110.28,-7.95,71.37,2.73,88
56,Meadow Lake,CA,-108.44,54.13,12.2,10.29,90
57,Carnarvon,AU,113.63,-24.87,77.67,23.2,0
58,Saskylakh,RU,114.09,71.97,-28.58,3.62,0
59,Ribeira Grande,PT,-28.7,38.52,66.2,3.36,75
60,Marienburg,SR,-55.04,5.88,84.2,9.17,40
61,Stornoway,GB,-6.39,58.21,41.0,13.87,88
62,Vostok,RU,135.83,46.45,44.1,6.98,12
63,Provideniya,RU,-173.23,64.42,22.54,3.96,76
64,Guerrero Negro,MX,-114.04,27.97,70.6,13.35,0
